c_slot_id,c_day,slot_in_day,start,end,room_cap
C1_S1,C1,1,09:00,10:30,10
C1_S2,C1,2,10:45,12:15,10
C1_S3,C1,3,12:30,14:00,10
C1_S4,C1,4,14:45,16:15,10
C1_S5,C1,5,16:30,18:00,10
C1_S6,C1,6,18:15,19:45,10
C1_S7,C1,7,20:00,21:30,10
C2_S8,C2,1,09:00,10:30,10
C2_S9,C2,2,10:45,12:15,10
C2_S10,C2,3,12:30,14:00,10
C2_S11,C2,4,14:45,16:15,10
C2_S12,C2,5,16:30,18:00,10
C2_S13,C2,6,18:15,19:45,10
C2_S14,C2,7,20:00,21:30,10
C3_S15,C3,1,09:00,10:30,10
C3_S16,C3,2,10:45,12:15,10
C3_S17,C3,3,12:30,14:00,10
C3_S18,C3,4,14:45,16:15,10
C3_S19,C3,5,16:30,18:00,10
C3_S20,C3,6,18:15,19:45,10
C3_S21,C3,7,20:00,21:30,10
C4_S22,C4,1,09:00,10:30,10
C4_S23,C4,2,10:45,12:15,10
C4_S24,C4,3,12:30,14:00,10
C4_S25,C4,4,14:45,16:15,10
C4_S26,C4,5,16:30,18:00,10
C4_S27,C4,6,18:15,19:45,10
C4_S28,C4,7,20:00,21:30,10
C5_S29,C5,1,09:00,10:30,10
C5_S30,C5,2,10:45,12:15,10
C5_S31,C5,3,12:30,14:00,10
C5_S32,C5,4,14:45,16:15,10
C5_S33,C5,5,16:30,18:00,10
C5_S34,C5,6,18:15,19:45,10
C5_S35,C5,7,20:00,21:30,10
C6_S36,C6,1,09:00,10:30,10
C6_S37,C6,2,10:45,12:15,10
C6_S38,C6,3,12:30,14:00,10
C6_S39,C6,4,14:45,16:15,10
C6_S40,C6,5,16:30,18:00,10
C6_S41,C6,6,18:15,19:45,10
C6_S42,C6,7,20:00,21:30,10
C7_S43,C7,1,09:00,10:30,10
C7_S44,C7,2,10:45,12:15,10
C7_S45,C7,3,12:30,14:00,10
C7_S46,C7,4,14:45,16:15,10
C7_S47,C7,5,16:30,18:00,10
C7_S48,C7,6,18:15,19:45,10
C7_S49,C7,7,20:00,21:30,10
C8_S50,C8,1,09:00,10:30,10
C8_S51,C8,2,10:45,12:15,10
C8_S52,C8,3,12:30,14:00,10
C8_S53,C8,4,14:45,16:15,10
C8_S54,C8,5,16:30,18:00,10
C8_S55,C8,6,18:15,19:45,10
C8_S56,C8,7,20:00,21:30,10
C9_S57,C9,1,09:00,10:30,10
C9_S58,C9,2,10:45,12:15,10
C9_S59,C9,3,12:30,14:00,10
C9_S60,C9,4,14:45,16:15,10
C9_S61,C9,5,16:30,18:00,10
C9_S62,C9,6,18:15,19:45,10
C9_S63,C9,7,20:00,21:30,10
C10_S64,C10,1,09:00,10:30,10
C10_S65,C10,2,10:45,12:15,10
C10_S66,C10,3,12:30,14:00,10
C10_S67,C10,4,14:45,16:15,10
C10_S68,C10,5,16:30,18:00,10
C10_S69,C10,6,18:15,19:45,10
C10_S70,C10,7,20:00,21:30,10
