course_id,course_name,faculty_raw,faculty_premid,faculty_postmid
FIS,,Prof. Prasenjit Chakrabarti,Prof. Prasenjit Chakrabarti,Prof. Prasenjit Chakrabarti
IM,,Prof. Anand,Prof. Anand,Prof. Anand
BV,,Prof. Anand,Prof. Anand,Prof. Anand
DRV,,Prof. Kamran Kuddus,Prof. Kamran Kuddus,Prof. Kamran Kuddus
DMPA,,Prof. Pradip Kumar Bala,Prof. Pradip Kumar Bala,Prof. Pradip Kumar Bala
DWDV,,Prof. Anupriya Khan,Prof. Anupriya Khan,Prof. Anupriya Khan
DT,,Prof. Arindam Mukherjee,Prof. Arindam Mukherjee,Prof. Arindam Mukherjee
IMKT,,Prof. Dipanjan Kumar Dey,Prof. Dipanjan Kumar Dey,Prof. Dipanjan Kumar Dey
PBM,,Prof. Aditya Shankar Mishra,Prof. Aditya Shankar Mishra,Prof. Aditya Shankar Mishra
SDM,,Prof. Shibashish Chakraborty,Prof. Shibashish Chakraborty,Prof. Shibashish Chakraborty
CB,,Prof. M. Jyotsna Soni,Prof. M. Jyotsna Soni,Prof. M. Jyotsna Soni
CRM,,Prof. Ankur Jha,Prof. Ankur Jha,Prof. Ankur Jha
DSMM,,Prof. Subhro Sarkar,Prof. Subhro Sarkar,Prof. Subhro Sarkar
IMC,,Prof. T. Sai Vijay,Prof. T. Sai Vijay,Prof. T. Sai Vijay
PRI,,Prof. Shweta Jha,Prof. Shweta Jha,Prof. Shweta Jha
REE,,Prof. Rakhi Singh,Prof. Rakhi Singh,Prof. Rakhi Singh
EMPP,,Prof. Rajasekhar David,Prof. Rajasekhar David,Prof. Rajasekhar David
NCM,,Prof. Manish Kumar,Prof. Manish Kumar,Prof. Manish Kumar
GMRM,,Prof. Piyali Ghosh,Prof. Piyali Ghosh,Prof. Piyali Ghosh
ODC,,Prof. Viraj Varma,Prof. Viraj Varma,Prof. Viraj Varma
SCM,,Prof. Pritee Ray,Prof. Pritee Ray,Prof. Pritee Ray
PM,,Prof. Vijaya Dixit,Prof. Vijaya Dixit,Prof. Vijaya Dixit
BMS,,Prof. Santosh Kumar Prusty,Prof. Santosh Kumar Prusty,Prof. Santosh Kumar Prusty
SMTI,,Prof. Shiwangi Singh,Prof. Shiwangi Singh,Prof. Shiwangi Singh
CCS,,Prof. Rohit Kumar,Prof. Rohit Kumar,Prof. Rohit Kumar
DTI,,Prof. Rohit Kumar (Premid) + Prof. Rojers Puthur Josrph (Postmid),Prof. Rohit Kumar,Prof. Rogers
CS,,Prof. Swarup Kumar Dutta,Prof. Swarup Kumar Dutta,Prof. Swarup Kumar Dutta
