section_id,course_id,sessions_scheduled,shortfall_below_18
DRV_B,DRV,20,0
DSMM_B,DSMM,20,0
DTI_B,DTI,20,0
EMPP_A,EMPP,20,0
EMPP_B,EMPP,20,0
GMRM_A,GMRM,20,0
IM_B,IM,20,0
IMC_B,IMC,20,0
IMKT_A,IMKT,20,0
NCM_A,NCM,20,0
ODC_A,ODC,20,0
ODC_B,ODC,20,0
PBM_B,PBM,20,0
REE_A,REE,20,0
SCM_B,SCM,20,0
CB_B,CB,19,0
CRM_B,CRM,19,0
CS_B,CS,19,0
DT_B,DT,19,0
FIS_B,FIS,19,0
IMKT_B,IMKT,19,0
PM_B,PM,19,0
PRI_A,PRI,19,0
PRI_B,PRI,19,0
SDM_A,SDM,19,0
BMS_A,BMS,18,0
BV_A,BV,18,0
CB_A,CB,18,0
CCS_A,CCS,18,0
CCS_B,CCS,18,0
CRM_A,CRM,18,0
CS_A,CS,18,0
DMPA_A,DMPA,18,0
DMPA_B,DMPA,18,0
DRV_A,DRV,18,0
DSMM_A,DSMM,18,0
DT_A,DT,18,0
DTI_A,DTI,18,0
DWDV_A,DWDV,18,0
FIS_A,FIS,18,0
IM_A,IM,18,0
IMC_A,IMC,18,0
PBM_A,PBM,18,0
PM_A,PM,18,0
SCM_A,SCM,18,0
SDM_B,SDM,18,0
SMTI_A,SMTI,18,0
