section_id,course_id,section_label,size
BMS_A,BMS,A,48
BV_A,BV,A,53
CB_A,CB,A,51
CB_B,CB,B,60
CCS_A,CCS,A,53
CCS_B,CCS,B,60
CRM_A,CRM,A,63
CRM_B,CRM,B,70
CS_A,CS,A,66
CS_B,CS,B,63
DMPA_A,DMPA,A,51
DMPA_B,DMPA,B,42
DRV_A,DRV,A,39
DRV_B,DRV,B,33
DSMM_A,DSMM,A,70
DSMM_B,DSMM,B,70
DT_A,DT,A,54
DT_B,DT,B,56
DTI_A,DTI,A,53
DTI_B,DTI,B,50
DWDV_A,DWDV,A,70
EMPP_A,EMPP,A,47
EMPP_B,EMPP,B,50
FIS_A,FIS,A,60
FIS_B,FIS,B,54
GMRM_A,GMRM,A,66
IM_A,IM,A,56
IM_B,IM,B,53
IMC_A,IMC,A,62
IMC_B,IMC,B,60
IMKT_A,IMKT,A,56
IMKT_B,IMKT,B,68
NCM_A,NCM,A,68
ODC_A,ODC,A,33
ODC_B,ODC,B,38
PBM_A,PBM,A,70
PBM_B,PBM,B,70
PM_A,PM,A,46
PM_B,PM,B,46
PRI_A,PRI,A,47
PRI_B,PRI,B,49
REE_A,REE,A,69
SCM_A,SCM,A,41
SCM_B,SCM,B,41
SDM_A,SDM,A,70
SDM_B,SDM,B,69
SMTI_A,SMTI,A,64
